team,oldest,newest
FC東京,2015-03-07,2021-12-04
J-22,2014-03-09,2015-11-14
YS横浜,2014-03-09,2021-12-05
京都,1996-03-16,2021-12-05
今治,2020-06-27,2021-12-05
仙台,1999-03-14,2021-12-04
八戸,2019-03-10,2021-12-05
北九州,2010-03-07,2021-12-05
千葉,2005-03-05,2021-12-05
名古屋,1993-05-16,2021-12-04
大分,1999-03-14,2021-12-04
大宮,1999-03-14,2021-12-05
宮崎,2021-03-14,2021-11-28
富山,2009-03-07,2021-12-05
山口,2015-03-15,2021-12-05
山形,1999-03-14,2021-12-05
岐阜,2008-03-09,2021-12-05
岡山,2009-03-08,2021-12-05
岩手,2019-03-10,2021-12-05
川崎Ｆ,1998-11-19,2021-12-04
市原,1993-05-16,2004-11-28
平塚,1994-03-12,1999-11-27
広島,1993-05-16,2021-12-04
徳島,2005-03-05,2021-12-04
愛媛,2006-03-04,2021-12-05
新潟,1999-03-14,2021-12-05
札幌,1998-03-21,2021-12-04
東京Ｖ,2001-03-10,2021-12-05
松本,2012-03-04,2021-12-05
柏,1995-03-18,2021-12-04
栃木,2009-03-08,2021-12-05
横浜FC,2001-03-10,2021-12-04
横浜FM,1999-03-06,2021-12-04
横浜M,1993-05-15,1998-11-14
横浜Ｆ,1993-05-16,1998-11-14
水戸,2000-03-11,2021-12-05
沼津,2017-03-18,2021-12-05
浦和,1993-05-16,2021-12-04
清水,1993-05-16,2021-12-04
湘南,2000-03-12,2021-12-04
熊本,2008-03-08,2021-12-05
琉球,2014-03-09,2021-12-05
甲府,1999-03-14,2021-12-05
町田,2012-03-04,2021-12-05
盛岡,2014-03-09,2018-12-02
相模原,2014-03-09,2021-12-05
磐田,1994-03-12,2021-12-05
神戸,1997-04-12,2021-12-04
福岡,1996-03-16,2021-12-04
福島,2014-03-09,2021-12-05
秋田,2014-03-09,2021-12-05
群馬,2013-03-03,2021-12-05
草津,2005-03-05,2012-11-11
藤枝,2014-03-09,2021-12-05
讃岐,2013-12-01,2021-12-05
金沢,2014-03-09,2021-12-05
長崎,2013-03-03,2021-12-05
長野,2014-03-09,2021-12-05
鳥取,2011-03-06,2021-12-05
鳥栖,1999-03-14,2021-12-04
鹿児島,2016-03-13,2021-12-05
鹿島,1993-05-16,2021-12-04
Ｃ大23,2016-03-13,2020-12-20
Ｃ大阪,1995-03-18,2021-12-04
Ｆ東23,2016-03-13,2019-12-08
Ｆ東京,1999-03-14,2014-12-06
Ｇ大23,2016-03-13,2020-12-20
Ｇ大阪,1993-05-16,2021-12-04
Ｖ川崎,1993-05-15,2000-11-26
